"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 07 09:39:40 CST 2022","Mon Mar 07 09:39:49 CST 2022","8187","test_case","test_area_manage_03","Test_area_case","","","创建区域"," 登录 "
"passed","Mon Mar 07 09:39:49 CST 2022","Mon Mar 07 09:39:54 CST 2022","5029","test_case","test_area_manage_03","Test_area_case","","","删除区域"," 登录 "
