"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 13 09:54:45 CST 2022","Wed Apr 13 09:54:56 CST 2022","11219","test_case","test_01_login","Test_login_case","","","test_01_login"," 登录 "
"broken","Fri Mar 04 11:12:35 CST 2022","Fri Mar 04 11:12:35 CST 2022","0","test_case","test_login","Test_login_case","","","test_01_login"," 登录 "
